date,open
2017/11/20,47.33
2017/11/21,47.89
2017/11/22,48.58
2017/11/24,48.66
2017/11/27,48.61
2017/11/28,48.44
2017/11/29,49.38
2017/11/30,49.76
2017/12/1,49.67
2017/12/4,50.1
2017/12/5,49.85
2017/12/6,49.39
2017/12/7,49.53
2017/12/8,51.23
2017/12/11,50.78
2017/12/12,51.27
2017/12/13,50.58
2017/12/14,50.59
2017/12/15,50.67
2017/12/18,51.25
2017/12/19,51.6
2017/12/20,51.57
2017/12/21,52.16
2017/12/22,52.72
2017/12/26,52.35
2017/12/27,52.8
2017/12/28,52.45
2017/12/29,52.42
2018/1/2,52.33
2018/1/3,52.86
2018/1/4,52.48
2018/1/5,52.78
2018/1/8,52.6
2018/1/9,52.97
2018/1/10,53.23
2018/1/11,54.49
2018/1/12,56.56
2018/1/16,58.79
2018/1/17,58.31
2018/1/18,58
2018/1/19,58.59
2018/1/22,57.99
2018/1/23,57.74
2018/1/24,54.35
2018/1/25,54
2018/1/26,53.65
2018/1/29,52.79
2018/1/30,52.45
2018/1/31,53.08
2018/2/1,54
2018/2/2,53.49
2018/2/5,51.99
2018/2/6,49.32
2018/2/7,50.91
